Company,City,COUNTY,Zip,Geographic Market,Number of Employees Fulltime,Corporate Plus,Annual Sales 2020,Annual Sales 2021,Annual Sales 2022,Revenue Classification,Revenue Class,Primary Industry ,Primary NAICS,Primary Industry 
Company 1104,Santa Monica,Los Angeles,90402,N,1,,"4,500.00",,,up to $1M,Class 1,Financial Services Professional Services Technology ,Office Supplies and Stationery Stores,Financial Services
Company 1105,Los Angeles,Los Angeles,90071,N,3,,"1,001,486.00","2,850,000.00","4,099,029.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services Transportation ",Nonscheduled Chartered Freight Air Transportation,"Advertising, Entertainment, Media and Sports"
Company 1106,Encino,Los Angeles,91436,I,4,,"4,500.00","4,600.00","4,800.00",up to $1M,Class 1,Consumer Products Manufacturing Suppliers Utilities ,Plastics Pipe and Pipe Fitting Manufacturing,Consumer Products
Company 1107,Woodland Hills,Los Angeles,91364,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1108,Granada Hills ,Los Angeles,91344,N,1,,"10,000.00","5,000.00",,up to $1M,Class 1,Food and Beverage ,Specialty Canning,Food and Beverage
Company 1109,Carson,Los Angeles,90746,N,2,,"4,441.94","11,892.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Professional Services ",Professional and Management Development Training,"Advertising, Entertainment, Media and Sports"
Company 1110,Arcadia,Los Angeles,91006,N,1,,"127,645.00","104,525.00",,up to $1M,Class 1,Financial Services ,Other Activities Related to Real Estate,Financial Services
Company 1111,Reseda,Los Angeles,91335,N,1,,"45,690.00","38,868.00",,up to $1M,Class 1,Professional Services Technology ,Temporary Help Services,Professional Services
Company 1112,Burbank,Los Angeles,91502,N,1,,"10,000.00","68,697.00","59,289.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Food and Beverage Retail and Apparel ",Apparel Accessories and Other Apparel Manufacturing,"Advertising, Entertainment, Media and Sports"
Company 1113,Reseda ,Los Angeles,91335,L,150,,"458,218.00","900,000.00","1,700,000.00",$1M to $10M,Class 2,Professional Services ,Security Guards and Patrol Services,Professional Services
Company 1114,Whittier,Los Angeles,90606,L,8,,,,,$1M to $10M,Class 2,Healthcare Professional Services Retail and Apparel ,Commercial and Institutional Building Construction,Healthcare
Company 1115,Claremont,Los Angeles,91711,L,3,,"448,634.00","382,200.00","688,603.00",up to $1M,Class 1,Food and Beverage Healthcare Manufacturing Suppliers ,Commercial and Institutional Building Construction,Food and Beverage
Company 1116,Culver City,Los Angeles,90230,N,1,,"7,260.00","9,900.00","1,500.00",up to $1M,Class 1,Food and Beverage ,Nonchocolate Confectionery Manufacturing,Food and Beverage
Company 1117,Paramount,Los Angeles,90723,N,68,,"5,845,533.00","8,891,638.00","9,977,147.00",$1M to $10M,Class 2,Automotive Technology Transportation ,Current-Carrying Wiring Device Manufacturing,Automotive
Company 1118,Los Angeles,Los Angeles,90008,N,1,,"103,834.00","90,282.00","198,309.00",up to $1M,Class 1,Food and Beverage ,Coffee and Tea Manufacturing,Food and Beverage
Company 1119,Los Angeles,Los Angeles,90039,I,15,,"9,000,000.00","7,600,000.00",,$1M to $10M,Class 2,Food and Beverage ,Medicinal and Botanical Manufacturing,Food and Beverage
Company 1120,Marina Del Rey,Los Angeles,90292,N,3,,"434,675.60","2,500,439.00",,$1M to $10M,Class 2,Manufacturing Suppliers Transportation Utilities ,Industrial Supplies Merchant Wholesalers,Manufacturing Suppliers
Company 1121,Los Angeles,Los Angeles,90034,N,1,,"246,304.00",,,up to $1M,Class 1,Professional Services ,Administration of Education Programs,Professional Services
Company 1122,Los Angeles,Los Angeles,90034,N,1,,"246,304.00",,,up to $1M,Class 1,Professional Services ,Administration of Education Programs,Professional Services
Company 1123,La Mirada,Los Angeles,90638,N,2,,"209,000.00","308,313.00","280,000.00",up to $1M,Class 1,Consumer Products Food and Beverage Healthcare ,All Other Miscellaneous Food Manufacturing ,Consumer Products
Company 1124,Los Angeles,Los Angeles,90011,I,12,,"10,000.00",,,up to $1M,Class 1,Consumer Products Healthcare Manufacturing Suppliers ,Surgical Appliance and Supplies Manufacturing,Consumer Products
Company 1125,Pasadena,Los Angeles,91105,N,2,,,,,up to $1M,Class 1,Professional Services ,Commercial and Institutional Building Construction,Professional Services
Company 1126,Burbank,Los Angeles,91504,I,4,,"1,251,353.00","2,021,857.00","2,919,492.21",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Technology ",Teleproduction and Other Postproduction Services,"Advertising, Entertainment, Media and Sports"
Company 1127,CANOGA PARK,Los Angeles,91303,L,2,,"8,500.00",,,up to $1M,Class 1,Consumer Products ,Commercial Screen Printing,Consumer Products
Company 1128,Inglewood,Los Angeles,90302,L,2,,"300,000.00",,,up to $1M,Class 1,Professional Services ,Janitorial Services,Professional Services
Company 1129,Inglewood,Los Angeles,90301,N,11,,,,,$1M to $10M,Class 2,Professional Services Transportation ,Administrative Management and General Management Consulting Services,Professional Services
Company 1130,Pomona,Los Angeles,91768,N,345,,"46,631,550.00","52,921,442.00","75,364,542.00",over $50M,Class 4,Manufacturing Suppliers ,Sheet Metal Work Manufacturing,Manufacturing Suppliers
Company 1131,Huntington Park,Los Angeles,90255,N,2,,"38,000.00","122,000.00","138,000.00",up to $1M,Class 1,Consumer Products Food and Beverage ,Soft Drink Manufacturing,Consumer Products
Company 1132,Tarzana,Los Angeles,91356,N,2,,"147,900.00","600,752.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1133,Agoura Hills,Los Angeles,91301,I,4,,"148,867.00","229,392.25","139,790.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1134,Los Angeles,Los Angeles,90025,N,1,,"860,000.00","21,000.00","5,000,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1135,Calabasas,Los Angeles,91302,N,2,,"829,004.68",,,up to $1M,Class 1,Food and Beverage ,Perishable Prepared Food Manufacturing,Food and Beverage
Company 1136,Los Angeles,Los Angeles,90027,L,2,,"298,231.00","330,792.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Professional Services ",Caterers,"Advertising, Entertainment, Media and Sports"
Company 1137,Sherman Oaks,Los Angeles,91403,I,14,,"17,552,082.00","22,341,952.00","36,057,470.00",$10M to $50M,Class 3,Retail and Apparel ,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",Retail and Apparel
Company 1138,City of Industry ,Los Angeles,91745,I,1,,"746,052.32",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Food and Beverage ","Frozen Fruit, Juice, and Vegetable Manufacturing","Advertising, Entertainment, Media and Sports"
Company 1139,Los Angeles,Los Angeles,90020,I,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Technology ",Custom Computer Programming Services,"Advertising, Entertainment, Media and Sports"
Company 1140,Los Angeles,Los Angeles,90034,I,3,,"33,876.57","8,185.18",0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Professional Services ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1141,Los Angeles,Los Angeles,90032,R,48,,"6,964,800.00","7,234,000.00","7,518,000.00",$1M to $10M,Class 2,Consumer Products Food and Beverage Manufacturing Suppliers ,Perishable Prepared Food Manufacturing,Consumer Products
Company 1142,Santa Monica,Los Angeles,90401,N,4,,,,,up to $1M,Class 1,Food and Beverage Retail and Apparel ,Wholesale Trade Agents and Brokers,Food and Beverage
Company 1143,Manhattan Beach,Los Angeles,90266,N,8,,0,"3,121,524.00","29,000,000.00",$10M to $50M,Class 3,Food and Beverage ,General Line Grocery Merchant Wholesalers,Food and Beverage
Company 1144,GARDENA,Los Angeles,90248,N,1,,,,,up to $1M,Class 1,Financial Services Professional Services ,Offices of Real Estate Agents and Brokers,Financial Services
Company 1145,Altadena,Los Angeles,91001,N,1,,"10,001.00","10,002.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Utilities ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1146,Northridge,Los Angeles,91324,N,1,,"100,290.00","104,891.00","51,746.00",up to $1M,Class 1,Retail and Apparel ,Electronic Shopping and Mail-Order Houses,Retail and Apparel
Company 1147,El Segundo,Los Angeles,90245,N,1,,"10,000.00",,,up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,Consumer Products
Company 1148,Long Beach ,Los Angeles,90807,N,1,,"10,000.00","86,500.00",,up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,Bottled Water Manufacturing,Consumer Products
Company 1149,INGLEWOOD,Los Angeles,90302,N,1,,"10,500.00","21,515.00",,up to $1M,Class 1,Transportation ,Scheduled Freight Air Transportation,Transportation
Company 1150,valencia,Los Angeles,91355,I,3,,,,,up to $1M,Class 1,Consumer Products Healthcare Manufacturing Suppliers ,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Consumer Products
Company 1151,Los Angeles,Los Angeles,90066,I,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1152,Inglewood,Los Angeles,90301,N,1,,"10,000.00",,,up to $1M,Class 1,Financial Services ,Lessors of Nonresidential Buildings (except Miniwarehouses),Financial Services
Company 1153,Los Angeles,Los Angeles,90038,N,2,,"615,724.01","10,000.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Technology ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1154,Van Nuys,Los Angeles,91405,N,2,,"97,054.00","194,731.00","344,431.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products ","Independent Artists, Writers, and Performers","Advertising, Entertainment, Media and Sports"
Company 1155,Studio City,Los Angeles,91604,N,5,,"50,000.00","3,136,329.00","6,672,319.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Retail and Apparel ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1156,Newhall,Los Angeles,91321,R,55,,"9,951,000.00","11,478,000.00",,$10M to $50M,Class 3,Food and Beverage Retail and Apparel ,Security Guards and Patrol Services,Food and Beverage
Company 1157,Santa Fe Springs,Los Angeles,90670,N,31,,"19,756,525.93","18,691,018.56","20,894,278.69",$10M to $50M,Class 3,Consumer Products Manufacturing Suppliers Technology ,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Consumer Products
Company 1158,Santa Monica,Los Angeles,90405,I,15,,"821,750.00","1,799,900.00","3,121,400.00",$1M to $10M,Class 2,Consumer Products Healthcare Technology ,Computer Systems Design Services,Consumer Products
Company 1159,Los Angeles,Los Angeles,90007,R,99,,"7,884,227.00","11,963,887.00",,$10M to $50M,Class 3,Food and Beverage ,Limited-Service Restaurants,Food and Beverage
Company 1160,Whittier,Los Angeles,90601,N,1,,"100,000.00","155,802.00","230,000.00",up to $1M,Class 1,Financial Services ,Employment Placement Agencies,Financial Services
Company 1161,Los Angeles,Los Angeles,90024,N,5,,"13,890,950.15","13,431,247.00",,$10M to $50M,Class 3,Professional Services ,Marketing Consulting Services,Professional Services
Company 1162,Pacific Palisades,Los Angeles,90272,I,2,,"18,000.00","44,000.00","93,500.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Technology ","Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","Advertising, Entertainment, Media and Sports"
Company 1163,Glendale,Los Angeles,91203,N,94,,"56,522,000.00","46,119,516.00","55,497,610.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports ",Cable and Other Subscription Programming,"Advertising, Entertainment, Media and Sports"
Company 1164,Los Angeles,Los Angeles,90036,N,32,,"4,995,466.84","6,603,600.00","9,776,974.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 1165,Compton,Los Angeles,90220,N,113,,"68,881,036.00","111,134,421.46","144,126,816.81",over $50M,Class 4,Retail and Apparel ,Sporting and Recreational Goods and Supplies Merchant Wholesalers,Retail and Apparel
Company 1166,Tarzana,Los Angeles,91356,N,20,,"6,732,000.00","7,767,000.00","9,999,764.00",$1M to $10M,Class 2,Professional Services Retail and Apparel Technology ,Temporary Help Services,Professional Services
Company 1167,Valencia,Los Angeles,91355,I,8,,"9,000,000.00","15,000,000.00","3,904,550.00",$1M to $10M,Class 2,Healthcare Professional Services ,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Healthcare
Company 1168,Los Angeles,Los Angeles,90062,L,6,,"700,000.00","890,000.00","1,200,000.00",$1M to $10M,Class 2,Consumer Products Food and Beverage Retail and Apparel ,Limited-Service Restaurants,Consumer Products
Company 1169,DIAMOND BAR,Los Angeles,91765,N,2,,,,,up to $1M,Class 1,Technology ,Custom Computer Programming Services,Technology
Company 1170,Los Angeles,Los Angeles,90001,N,277,,"27,856,660.00","29,472,541.00","39,030,919.00",over $50M,Class 4,Consumer Products ,Lessors of Residential Buildings and Dwellings,Consumer Products
Company 1171,Los Angeles,Los Angeles,90011,N,26,,"29,452,987.00","20,081,034.78","19,914,958.39",$10M to $50M,Class 3,Retail and Apparel ,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",Retail and Apparel
Company 1172,Santa Fe Springs,Los Angeles,90670,R,5,,"5,900,000.00","5,608,588.00",,$1M to $10M,Class 2,Manufacturing Suppliers Professional Services Retail and Apparel ,Industrial Building Construction,Manufacturing Suppliers
Company 1173,Arcadia,Los Angeles,91006,L,18,,"6,314,139.00","5,862,779.00","5,121,168.75",$1M to $10M,Class 2,Professional Services ,Architectural Services,Professional Services
Company 1174,Long Beach,Los Angeles,90814,L,17,,"840,000.00",,,up to $1M,Class 1,Professional Services ,Other Services to Buildings and Dwellings,Professional Services
Company 1175,Burbank,Los Angeles,91506,L,1,,"316,379.00","663,435.00","902,477.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Transportation ",Limousine Service,"Advertising, Entertainment, Media and Sports"
Company 1176,Los Angeles,Los Angeles,90026,I,1,,"21,000.00",,,up to $1M,Class 1,Consumer Products Healthcare ,Surgical Appliance and Supplies Manufacturing,Consumer Products
Company 1177,Pasadena,Los Angeles,91103,N,2,,"959,359.68","746,061.90","1,531,725.77",$1M to $10M,Class 2,Professional Services Retail and Apparel Technology ,Offices of Lawyers,Professional Services
Company 1178,Claremont,Los Angeles,91711,I,1,,500,"110,000.00","375,000.00",up to $1M,Class 1,Financial Services Professional Services Technology ,Human Resources Consulting Services,Financial Services
Company 1179,Burbank,Los Angeles,91505,N,5,,"953,854.00","1,307,164.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 1180,Monterey Park,Los Angeles,91754,I,3,,"4,400,000.00","7,002,062.31","6,495,048.04",$1M to $10M,Class 2,Food and Beverage ,Ice Cream and Frozen Dessert Manufacturing,Food and Beverage
Company 1181,NORTHRIDGE,Los Angeles,91324,R,1,,"220,757.00",,,up to $1M,Class 1,Healthcare Professional Services Transportation ,Offices of Real Estate Agents and Brokers,Healthcare
Company 1182,Los Angeles,Los Angeles,90094,N,1,,"215,000.00","294,461.00",,up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,Spice and Extract Manufacturing,Consumer Products
Company 1183,West Covina,Los Angeles,91791,L,1,,,,,up to $1M,Class 1,Healthcare Petrochemical and Energy Transportation ,Glass and Glazing Contractors,Healthcare
Company 1184,Canoga Park,Los Angeles,91303,N,2,,"54,000.00",,,up to $1M,Class 1,Consumer Products Financial Services Professional Services ,Toy and Hobby Goods and Supplies Merchant Wholesalers,Consumer Products
Company 1185,Glendale,Los Angeles,91204,N,13,,"1,741,915.00","3,154,000.00","4,153,000.00",$1M to $10M,Class 2,Professional Services ,Marketing Consulting Services,Professional Services
Company 1186,Santa Monica,Los Angeles,90405,I,6,,"1,644,733.00","2,268,256.00","2,122,264.00",$1M to $10M,Class 2,Consumer Products Professional Services ,"Cosmetics, Beauty Supplies, and Perfume Stores",Consumer Products
Company 1187,Santa Monica,Los Angeles,90401,N,1,,"10,000.00",,,up to $1M,Class 1,Consumer Products ,All Other Health and Personal Care Stores,Consumer Products
Company 1188,Redondo Beach,Los Angeles,90278,L,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Public Relations Agencies,"Advertising, Entertainment, Media and Sports"
Company 1189,La Puente,Los Angeles,91746,L,50,,"4,588,230.00","7,192,323.00","14,096,985.00",$10M to $50M,Class 3,Professional Services ,Drywall and Insulation Contractors,Professional Services
Company 1190,Los Angeles,Los Angeles,90045,N,2,,"43,216.71",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Offices of Lawyers,"Advertising, Entertainment, Media and Sports"
Company 1191,Burbank,Los Angeles,91505,N,10,,"3,058,000.00","4,000,761.00","2,989,919.00",$1M to $10M,Class 2,Automotive Consumer Products Healthcare ,Marketing Consulting Services,Automotive
Company 1192,Los Angeles,Los Angeles,90025,N,1,,80,,,up to $1M,Class 1,Consumer Products Professional Services Technology ,Stationery Product Manufacturing,Consumer Products
Company 1193,Pasadena,Los Angeles,91106,N,10,,"4,275,324.00","4,157,584.00","4,089,046.42",$1M to $10M,Class 2,Financial Services ,Investment Advice,Financial Services
Company 1194,Los Angeles,Los Angeles,90010,R,21,,"1,910,647.32",,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Healthcare Retail and Apparel ",Radio Stations,"Advertising, Entertainment, Media and Sports"
Company 1195,Canyon Country,Los Angeles,91387,N,1,,"18,000.00","24,300.00","25,374.00",up to $1M,Class 1,Professional Services Technology ,"All Other Professional, Scientific, and Technical Services",Professional Services
Company 1196,LOS ANGELES,Los Angeles,90027,N,1,,"411,000.00","505,000.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Automotive Technology ",Administrative Management and General Management Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1197,Los Angeles,Los Angeles,90061,I,41,,"640,341.00","939,566.00","920,000.00",up to $1M,Class 1,Consumer Products ,Custom Architectural Woodwork and Millwork Manufacturing,Consumer Products
Company 1198,Valencia,Los Angeles,91355,I,35,,"2,711,061.00","8,360,131.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services Retail and Apparel ",Other Miscellaneous Nondurable Goods Merchant Wholesalers,"Advertising, Entertainment, Media and Sports"
Company 1199,Sun Valley,Los Angeles,91352,N,1,,"56,200.00",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Retail and Apparel ","Independent Artists, Writers, and Performers","Advertising, Entertainment, Media and Sports"
Company 1200,TORRANCE,Los Angeles,90503,N,1,,"76,000.00","50,667.00","42,500.00",up to $1M,Class 1,Financial Services Technology Transportation ,Software Publishers,Financial Services
Company 1201,Canyon Country,Los Angeles,91351,N,3,,"1,074,239.77","1,203,903.13","1,310,936.17",$1M to $10M,Class 2,Financial Services Manufacturing Suppliers Transportation ,Computer Systems Design Services,Financial Services
Company 1202,Pico Rivera ,Los Angeles,90660,I,12,,"1,402,000.00",,,$1M to $10M,Class 2,Consumer Products Food and Beverage Retail and Apparel ,General Warehousing and Storage,Consumer Products
Company 1203,Hawthorne,Los Angeles,90250,N,8,,"393,658.00","1,507,802.60",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Technology ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 1204,Los Angeles ,Los Angeles,90015,N,3,,"3,722,189.54","5,955,270.92","8,001,220.54",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1205,Los Angeles,Los Angeles,90001,I,9,,"1,716,000.00","1,888,000.00","2,700,000.00",$1M to $10M,Class 2,Consumer Products ,Book Publishers,Consumer Products
Company 1206,San Dimas,Los Angeles,91773,N,12,,"7,650,238.94","8,099,436.04",,$1M to $10M,Class 2,Professional Services ,Offices of Real Estate Agents and Brokers,Professional Services
Company 1207,Sherman Oaks,Los Angeles,91403,N,1,,"42,500.00","10,000.00","80,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Software Publishers,"Advertising, Entertainment, Media and Sports"
Company 1208,Panorama City,Los Angeles,91402,R,1,,,,,up to $1M,Class 1,Financial Services Healthcare Professional Services ,Offices of Real Estate Agents and Brokers,Financial Services
Company 1209,Pomona,Los Angeles,91766,I,2,,"790,000.00","617,933.00",,up to $1M,Class 1,Food and Beverage Manufacturing Suppliers Professional Services ,Other Scientific and Technical Consulting Services,Food and Beverage
Company 1210,Santa Monica,Los Angeles,90404,N,2,,"61,478.00",,,up to $1M,Class 1,Healthcare Manufacturing Suppliers Technology ,Human Resources Consulting Services,Healthcare
Company 1211,Palmdale,Los Angeles,93551,R,5,,,,,up to $1M,Class 1,Consumer Products Financial Services Manufacturing Suppliers ,Residential Property Managers,Consumer Products
Company 1212,LOS ANGELES,Los Angeles,90045,N,1,,0,0,"11,660.00",up to $1M,Class 1,Consumer Products Retail and Apparel ,Other Cut and Sew Apparel Manufacturing,Consumer Products
Company 1213,City of Industry,Los Angeles,91748,N,4,,,,,up to $1M,Class 1,Consumer Products Financial Services Manufacturing Suppliers ,Other Services Related to Advertising,Consumer Products
Company 1214,Culver City,Los Angeles,90232,N,3,,"196,425.00","653,988.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Other Motion Picture and Video Industries,"Advertising, Entertainment, Media and Sports"
Company 1215,Temple City,Los Angeles,91780,I,1,,"518,000.00","681,000.00",,up to $1M,Class 1,Consumer Products ,All Other Miscellaneous Textile Product Mills,Consumer Products
Company 1216,Redondo Beach,Los Angeles,90277,N,7,,"1,000,000.00","1,400,000.00","1,800,000.00",$1M to $10M,Class 2,Automotive Manufacturing Suppliers Transportation ,All Other Miscellaneous Waste Management Services,Automotive
Company 1217,Torrance,Los Angeles,90501,N,2,,"2,999,386.31","3,229,722.37",,$1M to $10M,Class 2,Healthcare ,"All Other Professional, Scientific, and Technical Services",Healthcare
Company 1218,Glendale,Los Angeles,91205,R,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Administrative Management and General Management Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1219,Venice,Los Angeles,90291,N,7,,"548,428.00","1,006,960.00","1,152,428.00",$1M to $10M,Class 2,Professional Services ,Architectural Services,Professional Services
Company 1220,LOS ANGELES,Los Angeles,90023,N,9,,"15,000,000.00","6,000,000.00","8,000,000.00",$1M to $10M,Class 2,Consumer Products Healthcare Retail and Apparel ,Other Miscellaneous Durable Goods Merchant Wholesalers,Consumer Products
Company 1221,LA MIRADA,Los Angeles,90638,R,7,,"10,120,000.00","13,612,510.70","16,484,859.36",$10M to $50M,Class 3,Food and Beverage ,Beer and Ale Merchant Wholesalers,Food and Beverage
Company 1222,Los Angeles,Los Angeles,90066,N,5,,"397,759.01",,,up to $1M,Class 1,Retail and Apparel ,Barber Shops,Retail and Apparel
Company 1223,San Gabriel,Los Angeles,91776,N,2,,"216,758.00","293,912.00","324,640.00",up to $1M,Class 1,Professional Services ,"All Other Professional, Scientific, and Technical Services",Professional Services
Company 1224,Temple City,Los Angeles,91780,N,3,,"10,001.00","112,393.00","1,001,206.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1225,Glendale ,Los Angeles,91204,N,2,,"10,000.00",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",All Other Personal Services,"Advertising, Entertainment, Media and Sports"
Company 1226,LOS ANGELES,Los Angeles,90066,I,2,,"120,000.01",,,up to $1M,Class 1,Technology ,Software Publishers,Technology
Company 1227,CUDAGY,Los Angeles,90201,N,25,,,,,up to $1M,Class 1,Consumer Products Food and Beverage ,All Other Miscellaneous Food Manufacturing,Consumer Products
Company 1228,Los Angeles,Los Angeles,90039,N,3,,0,,,up to $1M,Class 1,Consumer Products Food and Beverage ,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,Consumer Products
Company 1229,Los Angeles,Los Angeles,90006,I,2,,"10,002.00",,,up to $1M,Class 1,Food and Beverage Healthcare Retail and Apparel ,Apparel Accessories and Other Apparel Manufacturing,Food and Beverage
Company 1230,Los Angeles,Los Angeles,90043,L,6,,"405,261.00","806,467.00","786,615.00",up to $1M,Class 1,Financial Services Healthcare Utilities ,Other Management Consulting Services,Financial Services
Company 1231,Los Angeles,Los Angeles,90058,R,15,,"2,791,397.00","3,227,202.00","4,500,722.00",$1M to $10M,Class 2,Professional Services ,Fire Protection,Professional Services
Company 1232,Hawthorne,Los Angeles,90250,N,4,,"10,000.00",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Financial Services Technology ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1233,Westlake Village,Los Angeles,91362,N,79,,"17,666,880.00","25,000,000.00","28,305,473.00",$10M to $50M,Class 3,Financial Services Healthcare Technology ,All Other Insurance Related Activities,Financial Services
Company 1234,LOS ANGELES ,Los Angeles,90045,L,2,,"201,922.01","322,386.00","424,679.00",up to $1M,Class 1,Transportation ,"Specialized Freight (except Used Goods) Trucking, Local",Transportation
Company 1235,Long Beach,Los Angeles,90814,N,1,,"156,000.00","476,586.00","928,812.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1236,los angeles,Los Angeles,90022,N,4,,"500,000.00","448,949.00","676,679.00",up to $1M,Class 1,Professional Services Technology ,Wired Telecommunications Carriers,Professional Services
Company 1237,Stevenson Ranch,Los Angeles,91381,R,2,,"837,883.00","833,859.00","641,502.00",up to $1M,Class 1,Financial Services Professional Services ,Offices of Real Estate Agents and Brokers,Financial Services
Company 1238,Calabasas,Los Angeles,91302,I,66,,"39,631,263.00","39,631,263.00","54,159,619.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports Consumer Products ",Other Performing Arts Companies,"Advertising, Entertainment, Media and Sports"
Company 1239,Lancaster,Los Angeles,93536,L,15,,"719,981.60","2,019,910.00","1,877,951.00",$1M to $10M,Class 2,Professional Services ,Landscaping Services,Professional Services
Company 1240,Los Angeles,Los Angeles,90071,N,1,,"147,220.00","272,954.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1241,City of Industry,Los Angeles,91748,N,10,,"13,478,085.00","9,666,284.00","8,493,533.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Furniture Stores,"Advertising, Entertainment, Media and Sports"
Company 1242,Rolling Hills Estates,Los Angeles,90274,N,4,,"144,974.91",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Media Buying Agencies,"Advertising, Entertainment, Media and Sports"
Company 1243,Encino,Los Angeles,91436,N,17,,"28,079,360.00",,,$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
